case_id,visual_decision,label_signal_supported,local_review_trace_range,visual_note,development_use,formal_training_decision
LINE9_STYLE_004,VISUAL_PASS,true,,Label follows a clear continuous event; exact duplicate also exists under accepted,REBUILD_SOFT_LABEL_BEFORE_USE,EXCLUDE_LINE9_HOLDOUT
LINE9_STYLE_005,VISUAL_PASS,true,,Label follows a clear continuous event; exact duplicate also exists under accepted,REBUILD_SOFT_LABEL_BEFORE_USE,EXCLUDE_LINE9_HOLDOUT
LINE9_STYLE_006,VISUAL_PASS,true,,Label follows a clear continuous event; exact duplicate also exists under accepted,REBUILD_SOFT_LABEL_BEFORE_USE,EXCLUDE_LINE9_HOLDOUT
LINE9_STYLE_007,VISUAL_PASS,true,,Label follows a clear continuous event; exact duplicate also exists under accepted,REBUILD_SOFT_LABEL_BEFORE_USE,EXCLUDE_LINE9_HOLDOUT
LINE9_STYLE_008,VISUAL_PASS,true,,Label follows a clear continuous event; exact duplicate also exists under accepted,REBUILD_SOFT_LABEL_BEFORE_USE,EXCLUDE_LINE9_HOLDOUT
LINE9_STYLE_009,VISUAL_PASS,true,,Label follows a clear continuous event; exact duplicate also exists under accepted,REBUILD_SOFT_LABEL_BEFORE_USE,EXCLUDE_LINE9_HOLDOUT
LINE9_STYLE_010,VISUAL_PASS,true,,Label follows a clear continuous event; exact duplicate also exists under accepted,REBUILD_SOFT_LABEL_BEFORE_USE,EXCLUDE_LINE9_HOLDOUT
LINE9_STYLE_V1_001,VISUAL_REVIEW_LOCAL_ARTIFACT,true,47-52,Target event is present but the central discontinuity has local phase ambiguity and should be masked or rechecked,REBUILD_SOFT_LABEL_AND_MASK_LOCAL_ARTIFACT,EXCLUDE_LINE9_HOLDOUT
LINE9_TERRAIN_011,VISUAL_PASS,true,,Label follows a clear terrain-varying event; exact duplicate also exists under accepted,REBUILD_SOFT_LABEL_BEFORE_USE,EXCLUDE_LINE9_HOLDOUT
LINE9_TERRAIN_012,VISUAL_PASS,true,,Label follows a clear terrain-varying event; exact duplicate also exists under accepted,REBUILD_SOFT_LABEL_BEFORE_USE,EXCLUDE_LINE9_HOLDOUT
