case_id,label,auditor,date,method,note,source_sha256
MACRO01_GENTLE_LONG_LINE_DIAGNOSTIC,development_positive_candidate,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,Long-line response is clean but overly smooth and only 128 traces wide.,50fb93c1ba57844deb8c6313346662be4ec65d9e7fb236e82e2ceb9218749bf5
MACRO02_MULTISCALE_LONG_LINE_DIAGNOSTIC,reprocess_required,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,"The solved pair exists, but the formal postprocess lifecycle record is missing.",2bebc13fd4d636a035e580c77175707b76c944c22ccd724b0e5945461f4bf184
MACRO03_CORRELATED_VOXEL_LONG_LINE_DIAGNOSTIC,repair_and_relabel_required,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,"Missing height metadata, incomplete full-run provenance, and 31.9 ns phase-path residual.",029aa212e848e3e1c25c9bc1dd3b1bc4c0669dec1aeeafeeb729b6c099d563da
MACRO04_DEEPER_GENTLE_DROPOUT_DIAGNOSTIC,best_pair_pilot_candidate,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,"Strict hashes and per-trace provenance pass; still 128 traces, no air run, and manual review is pending.",b4924f293a7ac64a610203b043079fdfee3caf2f212ce27a2ea0d46cf4129250
MACRO05_F01_DOMAIN_EQUIVALENCE,solver_run_required,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,"Static design exists, but no completed solver pair or visual result is present.",
MACRO05_F02_SHALLOW_DRY_GENTLE,solver_run_required,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,"Static design exists, but no completed solver pair or visual result is present.",
MACRO05_F03_DEEP_WEAK_CONTRAST,solver_run_required,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,"Static design exists, but no completed solver pair or visual result is present.",
MACRO05_F04_THICK_WEATHERING_DROPOUT,solver_run_required,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,"Static design exists, but no completed solver pair or visual result is present.",
MACRO05_F05_MULTISCALE_FOLDED,solver_run_required,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,"Static design exists, but no completed solver pair or visual result is present.",
MACRO05_F06_CLUTTER_RICH_LENSES,solver_run_required,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,"Static design exists, but no completed solver pair or visual result is present.",
MACRO05_F07_TERRAIN_COUPLED_HEIGHT,solver_run_required,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,"Static design exists, but no completed solver pair or visual result is present.",
MACRO05_F08_LOW_CONTRAST_BROAD_DROPOUT,solver_run_required,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,"Static design exists, but no completed solver pair or visual result is present.",
MACRO05_F09_THIN_TRANSITION_SHARP,solver_run_required,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,"Static design exists, but no completed solver pair or visual result is present.",
MACRO05_F10_NEAR_FLAT_LOCAL_NOTCH,solver_run_required,codex_physics_and_visual_audit_20260713,2026-07-13,gprMax_contract_pair_metrics_and_matched_scale_visual_review,"Static design exists, but no completed solver pair or visual result is present.",
PILOT_VALIDATION_000001,inconclusive,audit_session_20260710,2026-07-10,repository_audit_missing_evidence_record,Repository contains no case body; case body is absent from the audited repository and cannot be promoted or trained,
PILOT_VALIDATION_000002,rejected,audit_session_20260710,2026-07-10,repository_audit_missing_evidence_record,Repository contains no case body; case body is absent from the audited repository and cannot be promoted or trained,
PILOT_VALIDATION_000003,inconclusive,audit_session_20260710,2026-07-10,repository_audit_missing_evidence_record,Repository contains no case body; case body is absent from the audited repository and cannot be promoted or trained,
PILOT_VALIDATION_000004,rejected,audit_session_20260710,2026-07-10,repository_audit_missing_evidence_record,Repository contains no case body; case body is absent from the audited repository and cannot be promoted or trained,
PILOT_VALIDATION_000005,rejected,audit_session_20260710,2026-07-10,repository_audit_missing_evidence_record,Repository contains no case body; case body is absent from the audited repository and cannot be promoted or trained,
V4_QUICK_TEST,usable,audit_session_20260710,2026-07-10,repository_audit_missing_evidence_record,Visible peak is 23.4 ns later than current geometric-time label; case body is absent from the audited repository and cannot be promoted or trained,
